Date,Fatalities,Wounded
10/9/2015,1,1.0
10/22/2015,1,3.0
11/1/2015,1,1.0
11/20/2015,1,0.0
1/22/2016,0,1.0
1/29/2016,0,0.0
2/9/2016,0,4.0
2/12/2016,2,0.0
2/29/2016,0,4.0
4/23/2016,1,2.0
6/1/2016,2,0.0
6/8/2016,1,3.0
9/6/2016,1,0.0
9/9/2016,1,2.0
9/28/2016,2,2.0
10/11/2016,0,1.0
10/13/2016,0,2.0
10/18/2016,0,4.0
10/25/2016,0,1.0
12/1/2016,0,0.0
1/20/2017,0,1.0
1/20/2017,0,1.0
3/21/2017,0,1.0
4/10/2017,3,1.0
5/4/2017,2,0.0
9/13/2017,1,3.0
9/20/2017,0,1.0
11/14/2017,6,18.0
12/7/2017,3,0.0
1/9/2018,0,0.0
1/20/2018,1,0.0
1/22/2018,0,1.0
1/22/2018,0,1.0
1/23/2018,2,18.0
2/1/2018,0,5.0
2/14/2018,17,14.0
3/2/2018,2,0.0
3/7/2018,1,2.0
3/14/2018,2,1.0
3/20/2018,2,1.0
4/20/2018,0,1.0
5/11/2018,0,1.0
5/16/2018,0,1.0
5/18/2018,10,10.0
5/18/2018,1,3.0
5/25/2018,0,2.0
8/17/2018,0,2.0
8/30/2018,0,1.0
9/5/2018,1,1.0
9/10/2018,0,1.0
9/11/2018,1,0.0
10/29/2018,1,1.0
12/13/2018,1,0.0
1/25/2019,0,2.0
2/8/2019,0,1.0
2/12/2019,1,0.0
2/14/2019,0,0.0
3/22/2019,0,1.0
4/1/2019,0,1.0
4/25/2019,0,10.0
4/30/2019,2,4.0
5/4/2019,1,0.0
5/6/2019,0,0.0
5/7/2019,1,7.0
5/7/2019,0,1.0
8/8/2019,0,0.0
8/30/2019,0,10.0
10/22/2019,0,1.0
11/14/2019,2,4.0
11/15/2019,1,2.0
11/23/2019,2,0.0
12/2/2019,0,1.0
12/3/2019,0,2.0
1/8/2020,0,1.0
1/11/2020,1,1.0
1/14/2020,1,0.0
1/14/2020,0,2.0
1/23/2020,0,1.0
2/3/2020,2,1.0
9/16/2020,1,0.0
9/16/2020,0,1.0
2/26/2021,1,0.0
3/1/2021,1,0.0
4/12/2021,1,1.0
4/26/2021,0,0.0
5/6/2021,0,3.0
8/13/2021,1,0.0
8/18/2021,0,3.0
8/27/2021,0,2.0
8/27/2021,1,4.0
8/27/2021,0,1.0
9/1/2021,1,0.0
9/4/2021,0,3.0
9/20/2021,0,4.0
9/21/2021,0,3.0
9/24/2021,0,1.0
9/30/2021,0,1.0
9/30/2021,0,1.0
10/1/2021,0,1.0
10/6/2021,0,4.0
10/12/2021,0,2.0
10/13/2021,1,1.0
10/17/2021,1,7.0
11/1/2021,0,0.0
11/19/2021,0,3.0
11/26/2021,0,2.0
11/29/2021,0,1.0
11/30/2021,4,7.0
11/30/2021,1,2.0
12/6/2021,1,2.0
12/8/2021,0,2.0
1/4/2022,0,2.0
1/9/2022,0,0.0
1/11/2022,0,0.0
1/19/2022,0,1.0
1/19/2022,1,0.0
1/21/2022,0,1.0
1/29/2022,1,0.0
2/1/2022,1,1.0
2/1/2022,2,1.0
2/8/2022,0,1.0
3/4/2022,0,3.0
3/7/2022,1,2.0
3/31/2022,1,0.0
4/5/2022,0,1.0
4/22/2022,0,4.0
5/9/2022,0,1.0
5/17/2022,0,1.0
5/24/2022,22,15.0
5/31/2022,1,2.0
6/1/2022,0,1.0
8/19/2022,0,0.0
8/19/2022,0,0.0
8/29/2022,0,1.0
9/3/2022,0,4.0
9/24/2022,0,2.0
9/27/2022,1,4.0
9/28/2022,0,4.0
9/30/2022,1,3.0
9/30/2022,0,3.0
10/5/2022,1,0.0
10/7/2022,0,3.0
10/8/2022,0,1.0
10/24/2022,3,7.0
11/4/2022,0,1.0
11/8/2022,1,0.0
11/12/2022,1,2.0
11/13/2022,3,2.0
11/17/2022,0,1.0
11/19/2022,1,1.0
11/27/2022,1,4.0
12/8/2022,0,0.0
1/4/2023,1,0.0
1/5/2023,0,0.0
1/6/2023,0,1.0
1/7/2023,0,1.0
1/10/2023,0,1.0
1/23/2023,2,1.0
2/6/2023,0,0.0
2/13/2023,4,5.0
2/13/2023,0,0.0
2/14/2023,0,4.0
2/24/2023,0,0.0
3/3/2023,0,1.0
3/11/2023,0,0.0
3/20/2023,1,1.0
3/22/2023,0,1.0
3/22/2023,1,2.0
3/25/2023,0,0.0
3/27/2023,7,1.0
3/30/2023,0,1.0
4/10/2023,1,1.0
4/15/2023,0,2.0
4/24/2023,1,0.0
4/27/2023,0,2.0
4/28/2023,0,1.0
4/29/2023,0,1.0
5/1/2023,0,1.0
5/12/2023,0,0.0
5/12/2023,1,0.0
5/24/2023,1,0.0
6/2/2023,0,1.0
6/6/2023,2,5.0
7/5/2023,1,0.0
7/13/2023,1,0.0
8/16/2023,0,1.0
8/18/2023,2,0.0
8/22/2023,0,0.0
8/22/2023,0,2.0
8/25/2023,1,4.0
8/25/2023,0,1.0
8/28/2023,1,0.0
9/12/2023,1,2.0
9/15/2023,1,0.0
09/24/2023,0,2.0
10/03/2023,0,5.0
10/12/2023,0,0.0
10/15/2023,0,0.0
10/15/2023,1,0.0
10/17/2023,0,1.0
10/23/2023,1,0.0
10/28/2023,1,1.0
11/03/2023,0,2.0
11/13/2023,0,1.0
11/13/2023,1,0.0
11/27/2023,0,0.0
11/28/2023,0,0.0
12/06/2023,4,3.0
01/04/2024,3,6.0
01/17/2024,0,0.0
01/29/2024,0,1.0
01/30/2024,0,2.0
02/06/2024,0,1.0
02/09/2024,0,0.0
02/09/2024,0,0.0
02/14/2024,0,4.0
02/16/2024,2,0.0
02/19/2024,0,1.0
02/25/2024,0,0.0
02/26/2024,0,1.0
03/11/2024,0,0.0
04/02/2024,0,0.0
04/12/2024,0,1.0
04/21/2024,1,0.0
04/22/2024,1,0.0
04/15/2024,0,0.0
04/23/2024,0,0.0
04/24/2024,1,0.0
04/30/2024,0,0.0
05/01/2024,1,0.0
05/01/2024,0,0.0
05/03/2024,0,1.0
05/18/2024,1,0.0
05/19/2024,0,2.0
06/06/2024,1,0.0
08/10/2024,0,2.0
08/14/2024,0,4.0
08/18/2024,0,2.0
08/26/2024,2,0.0
08/30/2024,0,1.0
08/21/2024,0,1.0
09/03/2024,0,1.0
09/04/2024,4,9.0
09/04/2024,0,1.0
09/06/2024,1,0.0
09/10/2024,0,1.0
09/19/2024,0,0.0
09/22/2024,1,0.0
10/05/2024,1,0.0
10/10/2024,0,0.0
10/14/2024,2,0.0
10/17/2024,0,1.0
10/19/2024,1,5.0
10/29/2024,0,1.0
10/31/2024,0,0.0
11/06/2024,0,0.0
11/08/2024,0,1.0
11/10/2024,1,0.0
11/10/2024,1,16.0
12/04/2024,1,2.0
12/14/2024,0,0.0
12/16/2024,3,6.0
12/17/2024,0,0.0
01/13/2025,0,1.0
01/14/2025,0,0.0
01/22/2025,2,2.0
01/27/2025,0,0.0
01/30/2025,0,0.0
02/01/2025,0,1.0
02/06/2025,0,0.0
02/12/2025,0,1.0
02/19/2025,0,0.0
02/23/2025,0,0.0
02/25/2025,0,0.0
02/26/2025,2,0.0
03/02/2025,0,1.0
03/04/2025,1,0.0
03/12/2025,0,0.0
03/27/2025,0,0.0
04/07/2025,0,0.0
04/10/2025,0,2.0
04/08/2025,0,1.0
04/10/2025,0,0.0
04/10/2025,0,1.0
04/10/2025,0,1.0
04/11/2025,0,6.0
04/15/2025,0,4.0
04/16/2025,1,0.0
04/17/2025,2,7.0
04/19/2025,0,2.0
04/19/2025,0,1.0
04/22/2025,0,0.0
04/22/2025,1,1.0
04/27/2025,1,6.0
04/27/2025,0,1.0
04/30/2025,0,0.0
05/01/2025,0,1.0
05/02/2025,1,1.0
05/15/2025,1,1.0
05/19/2025,2,0.0
06/24/2025,1,2.0
06/24/2025,0,0.0
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1990
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
1995
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2000
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2005
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2010
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2015
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2020
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
2025
